raw_score,social_awareness_percentile,social_awareness_t,social_cognition_percentile,social_cognition_t,social_comunication_percentile,social_communication_t,social_motivation_percentile,social_motivation_t,repetitive_patterns_percentile,repetitive_patterns_t,social_interaction_percentile,social_interaction_t,total_percentile,total_t
158,,,,,,,,,,,,,99,78
157,,,,,,,,,,,,,99,74
156,,,,,,,,,,,,,99,74
155,,,,,,,,,,,,,99,74
154,,,,,,,,,,,,,99,74
153,,,,,,,,,,,,,99,74
152,,,,,,,,,,,,,99,74
151,,,,,,,,,,,,,98,71
150,,,,,,,,,,,,,98,71
149,,,,,,,,,,,,,98,71
148,,,,,,,,,,,,,98,71
147,,,,,,,,,,,,,98,71
146,,,,,,,,,,,,,98,71
145,,,,,,,,,,,,,98,71
144,,,,,,,,,,,,,98,71
143,,,,,,,,,,,,,98,71
142,,,,,,,,,,,,,96,68
141,,,,,,,,,,,,,96,68
140,,,,,,,,,,,,,96,68
139,,,,,,,,,,,,,96,68
138,,,,,,,,,,,,,96,68
137,,,,,,,,,,,,,96,68
136,,,,,,,,,,,,,96,68
135,,,,,,,,,,,,,96,68
134,,,,,,,,,,,,,96,68
133,,,,,,,,,,,,,96,68
132,,,,,,,,,,,,,96,68
131,,,,,,,,,,,99,78,96,68
130,,,,,,,,,,,99,74,96,68
129,,,,,,,,,,,99,74,96,68
128,,,,,,,,,,,99,74,96,68
127,,,,,,,,,,,99,74,96,68
126,,,,,,,,,,,99,74,96,68
125,,,,,,,,,,,99,74,96,68
124,,,,,,,,,,,99,74,96,68
123,,,,,,,,,,,99,74,94,66
122,,,,,,,,,,,99,74,94,66
121,,,,,,,,,,,99,74,94,66
120,,,,,,,,,,,98,70,94,66
119,,,,,,,,,,,98,70,94,66
118,,,,,,,,,,,98,70,94,66
117,,,,,,,,,,,98,70,94,66
116,,,,,,,,,,,98,70,94,66
115,,,,,,,,,,,98,70,94,66
114,,,,,,,,,,,98,70,94,66
113,,,,,,,,,,,98,70,94,66
112,,,,,,,,,,,98,70,94,66
111,,,,,,,,,,,98,70,94,66
110,,,,,,,,,,,98,70,89,62
109,,,,,,,,,,,98,70,89,62
108,,,,,,,,,,,96,68,89,62
107,,,,,,,,,,,96,68,89,62
106,,,,,,,,,,,96,68,89,62
105,,,,,,,,,,,96,68,89,62
104,,,,,,,,,,,96,68,89,62
103,,,,,,,,,,,96,68,89,62
102,,,,,,,,,,,96,68,89,62
101,,,,,,,,,,,96,68,89,62
100,,,,,,,,,,,96,68,89,62
99,,,,,,,,,,,93,65,89,62
98,,,,,,,,,,,93,65,89,62
97,,,,,,,,,,,93,65,89,62
96,,,,,,,,,,,93,65,89,62
95,,,,,,,,,,,93,65,89,62
94,,,,,,,,,,,93,65,89,62
93,,,,,,,,,,,93,65,89,62
92,,,,,,,,,,,93,65,89,62
91,,,,,,,,,,,93,65,89,62
90,,,,,,,,,,,93,65,89,62
89,,,,,,,,,,,93,65,89,62
88,,,,,,,,,,,93,65,89,62
87,,,,,,,,,,,93,65,89,62
86,,,,,,,,,,,91,64,86,61
85,,,,,,,,,,,91,64,86,61
84,,,,,,,,,,,91,64,86,61
83,,,,,,,,,,,91,64,86,61
82,,,,,,,,,,,91,64,86,61
81,,,,,,,,,,,91,64,85,60
80,,,,,,,,,,,90,63,84,60
79,,,,,,,,,,,90,63,84,60
78,,,,,,,,,,,89,62,84,60
77,,,,,,,,,,,89,62,83,60
76,,,,,,,,,,,89,62,83,60
75,,,,,,,,,,,89,62,83,60
74,,,,,,,,,,,88,62,83,60
73,,,,,,,,,,,88,62,83,60
72,,,,,,,,,,,87,61,83,60
71,,,,,,,,,,,86,61,83,59
70,,,,,,,,,,,85,60,83,59
69,,,,,,,,,,,85,60,83,59
68,,,,,,,,,,,84,60,83,59
67,,,,,,,,,,,84,60,82,59
66,,,,,,,,,,,84,60,81,59
65,,,,,,,,,,,84,60,81,59
64,,,,,,,,,,,84,60,80,58
63,,,,,,,,,,,83,60,78,58
62,,,,,,,,,,,83,60,78,58
