raw_score,social_awareness_percentile,social_awareness_t,social_cognition_percentile,social_cognition_t,social_comunication_percentile,social_communication_t,social_motivation_percentile,social_motivation_t,repetitive_patterns_percentile,repetitive_patterns_t,social_interaction_percentile,social_interaction_t,total_percentile,total_t
152,,,,,,,,,,,,,99,75
151,,,,,,,,,,,,,98,70
150,,,,,,,,,,,,,98,70
149,,,,,,,,,,,,,98,70
148,,,,,,,,,,,,,98,70
147,,,,,,,,,,,,,98,70
146,,,,,,,,,,,,,98,70
145,,,,,,,,,,,,,98,70
144,,,,,,,,,,,,,98,70
143,,,,,,,,,,,,,98,70
142,,,,,,,,,,,,,98,70
141,,,,,,,,,,,,,98,70
140,,,,,,,,,,,,,98,70
139,,,,,,,,,,,,,96,68
138,,,,,,,,,,,,,96,68
137,,,,,,,,,,,,,96,68
136,,,,,,,,,,,,,96,68
135,,,,,,,,,,,,,96,68
134,,,,,,,,,,,,,96,68
133,,,,,,,,,,,,,96,68
132,,,,,,,,,,,,,96,68
131,,,,,,,,,,,,,96,68
130,,,,,,,,,,,,,96,68
129,,,,,,,,,,,,,96,68
128,,,,,,,,,,,,,96,68
127,,,,,,,,,,,,,96,68
126,,,,,,,,,,,,,96,68
125,,,,,,,,,,,,,96,68
124,,,,,,,,,,,,,96,68
123,,,,,,,,,,,,,95,67
122,,,,,,,,,,,,,95,67
121,,,,,,,,,,,99,75,95,67
120,,,,,,,,,,,98,71,95,67
119,,,,,,,,,,,98,71,94,66
118,,,,,,,,,,,98,71,94,66
117,,,,,,,,,,,98,71,94,66
116,,,,,,,,,,,98,71,94,66
115,,,,,,,,,,,98,71,94,66
114,,,,,,,,,,,98,71,94,66
113,,,,,,,,,,,98,71,94,66
112,,,,,,,,,,,98,71,93,65
111,,,,,,,,,,,97,69,93,65
110,,,,,,,,,,,97,69,92,64
109,,,,,,,,,,,97,69,92,64
108,,,,,,,,,,,97,69,92,64
107,,,,,,,,,,,96,68,92,64
106,,,,,,,,,,,96,68,91,63
105,,,,,,,,,,,96,68,91,63
104,,,,,,,,,,,96,68,91,63
103,,,,,,,,,,,96,68,91,63
102,,,,,,,,,,,96,68,90,63
101,,,,,,,,,,,96,68,88,62
100,,,,,,,,,,,96,68,88,62
99,,,,,,,,,,,95,67,88,62
98,,,,,,,,,,,95,67,88,62
97,,,,,,,,,,,94,66,88,62
96,,,,,,,,,,,94,66,88,62
95,,,,,,,,,,,92,64,88,62
94,,,,,,,,,,,92,64,87,61
93,,,,,,,,,,,92,64,86,61
92,,,,,,,,,,,92,64,86,61
91,,,,,,,,,,,92,64,86,61
90,,,,,,,,,,,92,64,86,61
89,,,,,,,,,,,92,64,86,61
88,,,,,,,,,,,92,64,86,61
87,,,,,,,,,,,91,63,86,61
86,,,,,,,,,,,90,63,85,60
85,,,,,,,,,,,88,62,83,60
84,,,,,,,,,,,88,62,83,60
83,,,,,,,,,,,88,62,83,60
82,,,,,,,,,,,88,62,83,60
81,,,,,,,,,,,88,62,82,59
80,,,,,,,,,,,86,61,81,59
79,,,,,,,,,,,86,61,81,59
78,,,,,,,,,,,85,60,80,58
77,,,,,,,,,,,85,60,79,58
76,,,,,,,,,,,85,60,79,58
75,,,,,,,,,,,85,60,79,58
74,,,,,,,,,,,85,60,79,58
73,,,,,,,,,,,85,60,79,58
72,,,,,,,,,,,84,60,79,58
71,,,,,,,,,,,83,60,77,57
70,,,,,,,,,,,81,59,77,57
69,,,,,,,,,,,81,59,77,57
68,,,,,,,,,,,80,58,77,57
67,,,,,,,,,,,80,58,75,57
66,,,,,,,,,,,80,58,74,56
65,,,,,,,,,,,80,58,74,56
64,,,,,,,,,,,80,58,71,56
63,,,,,,,,,,,79,58,70,55
62,,,,,,,,,,,79,58,69,55
61,,,,,,,,,,,78,58,67,54
60,,,,,,,,,,,77,58,67,54
59,,,,,,,,,,,76,57,67,54
58,,,,,99,78,,,,,75,56,66,54
57,,,,,99,75,,,,,74,56,65,54
56,,,,,99,75,,,,,72,56,64,54
55,,,,,99,75,,,,,71,55,63,53
54,,,,,99,75,,,,,70,55,63,53
53,,,,,99,75,,,,,69,55,62,53
52,,,,,99,75,,,,,69,55,62,53
51,,,,,99,75,,,,,68,54,60,53
50,,,,,99,75,,,,,67,54,60,53
49,,,,,99,75,,,,,67,54,58,52
48,,,,,98,71,,,,,67,54,58,52
47,,,,,98,71,,,,,65,54,57,52
46,,,,,98,71,,,,,64,54,55,51
45,,,,,98,71,,,,,63,54,53,51
44,,,,,97,69,,,,,62,53,53,51
43,,,,,97,69,,,,,60,53,53,51
42,,,,,97,69,,,,,59,52,52,50
41,,,,,96,68,,,,,58,52,50,50
40,,,,,95,67,,,,,55,51,49,50
39,,,,,93,65,,,,,54,51,47,49
38,,,,,93,65,,,,,53,51,45,49
37,,,,,90,63,,,,,52,51,42,48
36,,,,,90,63,,,,,50,50,38,47
35,,,,,90,63,,,,,48,49,37,47
34,,,,,90,63,,,,,45,49,35,46
33,,,,,88,62,,,,,41,48,31,45
32,,,,,87,61,,,,,37,47,29,45
31,,,,,85,60,,,98,71,35,46,27,44
30,,,,,85,60,,,97,69,34,46,25,43
29,,,99,73,83,60,,,97,69,33,46,23,42
28,,,97,68,82,59,,,97,69,30,45,20,42
27,,,95,66,81,59,,,95,67,27,44,18,41
26,,,95,66,80,58,99,75,95,67,25,43,15,40
25,,,95,66,78,58,98,70,95,67,23,42,14,39
24,,,93,65,78,58,96,67,95,67,19,41,12,38
23,,,93,65,75,57,93,65,93,65,18,40,10,37
22,,,93,65,71,55,92,64,93,65,16,39,8,36
21,,,92,64,71,55,91,63,93,65,14,39,7,35
20,,,90,63,71,55,88,62,93,65,13,39,7,35
19,,,87,61,71,55,86,61,93,65,10,37,6,34
18,99,73,85,60,67,54,85,60,92,64,9,36,5,33
17,97,68,82,59,63,53,82,59,92,64,8,36,5,33
16,95,67,79,58,63,53,78,58,90,63,7,35,5,33
15,93,65,76,57,60,53,74,56,90,63,7,35,4,32
14,91,64,72,56,57,52,69,55,86,61,5,33,3,31
13,88,62,68,55,52,50,63,53,80,58,3,31,1,27
12,85,60,64,54,47,49,58,52,75,57,2,27,1,27
11,80,58,59,52,41,48,54,51,73,56,1,27,1,27
10,74,56,56,52,32,45,48,50,69,55,1,27,1,27
9,67,54,49,50,27,44,38,47,65,54,1,27,1,27
8,58,52,38,47,24,43,30,45,61,53,1,27,1,27
7,51,50,33,46,18,41,24,43,56,52,1,27,1,27
6,44,48,28,44,13,39,15,40,50,50,1,27,1,27
5,32,45,21,42,9,36,7,35,41,48,1,27,1,27
4,21,42,15,40,4,32,4,33,35,46,1,27,1,27
3,13,39,9,36,1,25,2,29,30,45,1,27,1,27
2,8,36,4,33,1,25,2,29,18,41,1,27,1,27
1,5,33,3,31,1,25,2,29,5,34,1,27,1,27
0,2,29,1,27,1,25,2,29,2,29,1,27,1,27
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,

