raw_score,social_awareness_percentile,social_awareness_t,social_cognition_percentile,social_cognition_t,social_comunication_percentile,social_communication_t,social_motivation_percentile,social_motivation_t,repetitive_patterns_percentile,repetitive_patterns_t,social_interaction_percentile,social_interaction_t,total_percentile,total_t
158,99,75,99,75,99,78,99,78,99,78,99,78,99,78
157,99,75,99,75,99,78,99,78,99,78,99,78,99,74
156,99,75,99,75,99,78,99,78,99,78,99,78,99,74
155,99,75,99,75,99,78,99,78,99,78,99,78,99,74
154,99,75,99,75,99,78,99,78,99,78,99,78,99,74
153,99,75,99,75,99,78,99,78,99,78,99,78,99,74
152,99,75,99,75,99,78,99,78,99,78,99,78,99,74
151,99,75,99,75,99,78,99,78,99,78,99,78,98,71
150,99,75,99,75,99,78,99,78,99,78,99,78,98,71
149,99,75,99,75,99,78,99,78,99,78,99,78,98,71
148,99,75,99,75,99,78,99,78,99,78,99,78,98,71
147,99,75,99,75,99,78,99,78,99,78,99,78,98,71
146,99,75,99,75,99,78,99,78,99,78,99,78,98,71
145,99,75,99,75,99,78,99,78,99,78,99,78,98,71
144,99,75,99,75,99,78,99,78,99,78,99,78,98,71
143,99,75,99,75,99,78,99,78,99,78,99,78,98,71
142,99,75,99,75,99,78,99,78,99,78,99,78,96,68
141,99,75,99,75,99,78,99,78,99,78,99,78,96,68
140,99,75,99,75,99,78,99,78,99,78,99,78,96,68
139,99,75,99,75,99,78,99,78,99,78,99,78,96,68
138,99,75,99,75,99,78,99,78,99,78,99,78,96,68
137,99,75,99,75,99,78,99,78,99,78,99,78,96,68
136,99,75,99,75,99,78,99,78,99,78,99,78,96,68
135,99,75,99,75,99,78,99,78,99,78,99,78,96,68
134,99,75,99,75,99,78,99,78,99,78,99,78,96,68
133,99,75,99,75,99,78,99,78,99,78,99,78,96,68
132,99,75,99,75,99,78,99,78,99,78,99,78,96,68
131,99,75,99,75,99,78,99,78,99,78,99,78,96,68
130,99,75,99,75,99,78,99,78,99,78,99,74,96,68
129,99,75,99,75,99,78,99,78,99,78,99,74,96,68
128,99,75,99,75,99,78,99,78,99,78,99,74,96,68
127,99,75,99,75,99,78,99,78,99,78,99,74,96,68
126,99,75,99,75,99,78,99,78,99,78,99,74,96,68
125,99,75,99,75,99,78,99,78,99,78,99,74,96,68
124,99,75,99,75,99,78,99,78,99,78,99,74,96,68
123,99,75,99,75,99,78,99,78,99,78,99,74,94,66
122,99,75,99,75,99,78,99,78,99,78,99,74,94,66
121,99,75,99,75,99,78,99,78,99,78,99,74,94,66
120,99,75,99,75,99,78,99,78,99,78,98,70,94,66
119,99,75,99,75,99,78,99,78,99,78,98,70,94,66
118,99,75,99,75,99,78,99,78,99,78,98,70,94,66
117,99,75,99,75,99,78,99,78,99,78,98,70,94,66
116,99,75,99,75,99,78,99,78,99,78,98,70,94,66
115,99,75,99,75,99,78,99,78,99,78,98,70,94,66
114,99,75,99,75,99,78,99,78,99,78,98,70,94,66
113,99,75,99,75,99,78,99,78,99,78,98,70,94,66
112,99,75,99,75,99,78,99,78,99,78,98,70,94,66
111,99,75,99,75,99,78,99,78,99,78,98,70,94,66
110,99,75,99,75,99,78,99,78,99,78,98,70,89,62
109,99,75,99,75,99,78,99,78,99,78,98,70,89,62
108,99,75,99,75,99,78,99,78,99,78,96,68,89,62
107,99,75,99,75,99,78,99,78,99,78,96,68,89,62
106,99,75,99,75,99,78,99,78,99,78,96,68,89,62
105,99,75,99,75,99,78,99,78,99,78,96,68,89,62
104,99,75,99,75,99,78,99,78,99,78,96,68,89,62
103,99,75,99,75,99,78,99,78,99,78,96,68,89,62
102,99,75,99,75,99,78,99,78,99,78,96,68,89,62
101,99,75,99,75,99,78,99,78,99,78,96,68,89,62
100,99,75,99,75,99,78,99,78,99,78,96,68,89,62
99,99,75,99,75,99,78,99,78,99,78,93,65,89,62
98,99,75,99,75,99,78,99,78,99,78,93,65,89,62
97,99,75,99,75,99,78,99,78,99,78,93,65,89,62
96,99,75,99,75,99,78,99,78,99,78,93,65,89,62
95,99,75,99,75,99,78,99,78,99,78,93,65,89,62
94,99,75,99,75,99,78,99,78,99,78,93,65,89,62
93,99,75,99,75,99,78,99,78,99,78,93,65,89,62
92,99,75,99,75,99,78,99,78,99,78,93,65,89,62
91,99,75,99,75,99,78,99,78,99,78,93,65,89,62
90,99,75,99,75,99,78,99,78,99,78,93,65,89,62
89,99,75,99,75,99,78,99,78,99,78,93,65,89,62
88,99,75,99,75,99,78,99,78,99,78,93,65,89,62
87,99,75,99,75,99,78,99,78,99,78,93,65,89,62
86,99,75,99,75,99,78,99,78,99,78,91,64,86,61
85,99,75,99,75,99,78,99,78,99,78,91,64,86,61
84,99,75,99,75,99,78,99,78,99,78,91,64,86,61
83,99,75,99,75,99,78,99,78,99,78,91,64,86,61
82,99,75,99,75,99,78,99,78,99,78,91,64,86,61
81,99,75,99,75,99,78,99,78,99,78,91,64,85,60
80,99,75,99,75,99,78,99,78,99,78,90,63,84,60
79,99,75,99,75,99,78,99,78,99,78,90,63,84,60
78,99,75,99,75,99,78,99,78,99,78,89,62,84,60
77,99,75,99,75,99,78,99,78,99,78,89,62,83,60
76,99,75,99,75,99,78,99,78,99,78,89,62,83,60
75,99,75,99,75,99,78,99,78,99,78,89,62,83,60
74,99,75,99,75,99,78,99,78,99,78,88,62,83,60
73,99,75,99,75,99,78,99,78,99,78,88,62,83,60
72,99,75,99,75,99,78,99,78,99,78,87,61,83,60
71,99,75,99,75,99,78,99,78,99,78,86,61,83,59
70,99,75,99,75,99,78,99,78,99,78,85,60,83,59
69,99,75,99,75,99,78,99,78,99,78,85,60,83,59
