raw_score,social_awareness_percentile,social_awareness_t,social_cognition_percentile,social_cognition_t,social_comunication_percentile,social_communication_t,social_motivation_percentile,social_motivation_t,repetitive_patterns_percentile,repetitive_patterns_t,social_interaction_percentile,social_interaction_t,total_percentile,total_t
158,99,78,99,78,99,78,99,78,99,78,99,78,99,78
157,99,78,99,78,99,78,99,78,99,78,99,78,99,78
156,99,78,99,78,99,78,99,78,99,78,99,78,99,78
155,99,78,99,78,99,78,99,78,99,78,99,78,99,78
154,99,78,99,78,99,78,99,78,99,78,99,78,99,78
153,99,78,99,78,99,78,99,78,99,78,99,77,99,77
152,99,78,99,78,99,78,99,78,99,78,99,76,99,76
151,99,78,99,78,99,78,99,78,99,78,99,75,99,75
150,99,78,99,78,99,78,99,78,99,78,99,74,99,74
149,99,78,99,78,99,78,99,78,99,78,99,74,99,74
148,99,78,99,78,99,78,99,78,99,78,99,74,99,74
147,99,78,99,78,99,78,99,78,99,78,99,74,99,74
146,99,78,99,78,99,78,99,78,99,78,99,74,99,74
145,99,78,99,78,99,78,99,78,99,78,99,74,99,74
144,99,78,99,78,99,78,99,78,99,78,99,74,99,74
143,99,78,99,78,99,78,99,78,99,78,99,74,99,74
142,99,78,99,78,99,78,99,78,99,78,99,74,99,74
141,99,78,99,78,99,78,99,78,99,78,99,74,99,74
140,99,78,99,78,99,78,99,78,99,78,99,74,99,74
139,99,78,99,78,99,78,99,78,99,78,99,74,99,74
138,99,78,99,78,99,78,99,78,99,78,99,74,99,74
137,99,78,99,78,99,78,99,78,99,78,99,74,99,74
136,99,78,99,78,99,78,99,78,99,78,99,74,99,74
135,99,78,99,78,99,78,99,78,99,78,99,74,99,74
134,99,78,99,78,99,78,99,78,99,78,99,74,99,74
133,99,78,99,78,99,78,99,78,99,78,99,74,99,74
132,99,78,99,78,99,78,99,78,99,78,99,74,99,74
131,99,78,99,78,99,78,99,78,99,78,99,74,99,74
130,99,78,99,78,99,78,99,78,99,78,99,74,99,74
129,99,78,99,78,99,78,99,78,99,78,99,74,99,74
128,99,78,99,78,99,78,99,78,99,78,99,74,99,74
127,99,78,99,78,99,78,99,78,99,78,99,74,99,74
126,99,78,99,78,99,78,99,78,99,78,99,78,99,78
125,99,78,99,78,99,78,99,78,99,78,98,72,98,72
124,99,78,99,78,99,78,99,78,99,78,98,72,98,72
123,99,78,99,78,99,78,99,78,99,78,98,72,98,72
122,99,78,99,78,99,78,99,78,99,78,98,72,98,72
121,99,78,99,78,99,78,99,78,99,78,98,72,98,72
120,99,78,99,78,99,78,99,78,99,78,98,72,98,72
119,99,78,99,78,99,78,99,78,99,78,98,72,98,72
118,99,78,99,78,99,78,99,78,99,78,98,72,98,72
117,99,78,99,78,99,78,99,78,99,78,98,72,98,72
116,99,78,99,78,99,78,99,78,99,78,97,71,97,71
115,99,78,99,78,99,78,99,78,99,78,97,71,97,71
114,99,78,99,78,99,78,99,78,99,78,97,71,97,71
113,99,78,99,78,99,78,99,78,99,78,97,71,97,71
112,99,78,99,78,99,78,99,78,99,78,97,71,97,71
111,99,78,99,78,99,78,99,78,99,78,97,71,97,71
110,99,78,99,78,99,78,99,78,99,78,97,71,97,71
109,99,78,99,78,99,78,99,78,99,78,96,70,96,70
108,99,78,99,78,99,78,99,78,99,78,96,70,96,70
107,99,78,99,78,99,78,99,78,99,78,96,70,96,70
106,99,78,99,78,99,78,99,78,99,78,95,69,95,69
105,99,78,99,78,99,78,99,78,99,78,95,69,95,69
