raw_score,social_awareness_percentile,social_awareness_t,social_cognition_percentile,social_cognition_t,social_comunication_percentile,social_communication_t,social_motivation_percentile,social_motivation_t,repetitive_patterns_percentile,repetitive_patterns_t,social_interaction_percentile,social_interaction_t,total_percentile,total_t
158,99,73,99,73,99,78,99,75,98,71,99,75,99,75
157,99,73,99,73,99,78,99,75,98,71,99,75,99,75
156,99,73,99,73,99,78,99,75,98,71,99,75,99,75
155,99,73,99,73,99,78,99,75,98,71,99,75,99,75
154,99,73,99,73,99,78,99,75,98,71,99,75,99,75
153,99,73,99,73,99,78,99,75,98,71,99,75,99,75
152,99,73,99,73,99,78,99,75,98,71,99,75,99,75
151,99,73,99,73,99,78,99,75,98,71,99,75,98,70
150,99,73,99,73,99,78,99,75,98,71,99,75,98,70
149,99,73,99,73,99,78,99,75,98,71,99,75,98,70
148,99,73,99,73,99,78,99,75,98,71,99,75,98,70
147,99,73,99,73,99,78,99,75,98,71,99,75,98,70
146,99,73,99,73,99,78,99,75,98,71,99,75,98,70
145,99,73,99,73,99,78,99,75,98,71,99,75,98,70
144,99,73,99,73,99,78,99,75,98,71,99,75,98,70
143,99,73,99,73,99,78,99,75,98,71,99,75,98,70
142,99,73,99,73,99,78,99,75,98,71,99,75,98,70
141,99,73,99,73,99,78,99,75,98,71,99,75,98,70
140,99,73,99,73,99,78,99,75,98,71,99,75,98,70
139,99,73,99,73,99,78,99,75,98,71,99,75,96,68
138,99,73,99,73,99,78,99,75,98,71,99,75,96,68
137,99,73,99,73,99,78,99,75,98,71,99,75,96,68
136,99,73,99,73,99,78,99,75,98,71,99,75,96,68
135,99,73,99,73,99,78,99,75,98,71,99,75,96,68
134,99,73,99,73,99,78,99,75,98,71,99,75,96,68
133,99,73,99,73,99,78,99,75,98,71,99,75,96,68
132,99,73,99,73,99,78,99,75,98,71,99,75,96,68
131,99,73,99,73,99,78,99,75,98,71,99,75,96,68
130,99,73,99,73,99,78,99,75,98,71,99,75,96,68
129,99,73,99,73,99,78,99,75,98,71,99,75,96,68
128,99,73,99,73,99,78,99,75,98,71,99,75,96,68
127,99,73,99,73,99,78,99,75,98,71,99,75,96,68
126,99,73,99,73,99,78,99,75,98,71,99,75,96,68
125,99,73,99,73,99,78,99,75,98,71,99,75,96,68
124,99,73,99,73,99,78,99,75,98,71,99,75,96,68
123,99,73,99,73,99,78,99,75,98,71,99,75,95,67
122,99,73,99,73,99,78,99,75,98,71,99,75,95,67
121,99,73,99,73,99,78,99,75,98,71,99,75,95,67
120,99,73,99,73,99,78,99,75,98,71,98,71,95,67
119,99,73,99,73,99,78,99,75,98,71,98,71,94,66
118,99,73,99,73,99,78,99,75,98,71,98,71,94,66
117,99,73,99,73,99,78,99,75,98,71,98,71,94,66
116,99,73,99,73,99,78,99,75,98,71,98,71,94,66
115,99,73,99,73,99,78,99,75,98,71,98,71,94,66
114,99,73,99,73,99,78,99,75,98,71,98,71,94,66
113,99,73,99,73,99,78,99,75,98,71,98,71,94,66
112,99,73,99,73,99,78,99,75,98,71,98,71,93,65
